"";"arv";"dap";"ht";"vprod_6";"vtoco";"vponta";"vcilcc";"vtsc";"ffsc";"ffcom"
"56";56;17,35;26,97;0,276392775392116;0,00240088565630896;0,00426333912652158;0,637631532775609;0,283057000174947;0,443919388589207;0,433467859076823
"57";57;6,53;12,15;0,00537367428046837;0,000434979923683723;0,00983135849837931;0,0406904527229213;0,0156400127025314;0,384365659655618;0,132062287855582
"58";58;20,37;29,32;0,392110853629788;0,00342675929132215;0,00453760685831113;0,955511471372856;0,400075219779422;0,418702686221656;0,410367499896587
"59";59;21,01;30,74;0,438291555248799;0,00340448426843484;0,00429162541578641;1,06572670713133;0,445987664933021;0,418482207444634;0,411260740972299
"60";60;7,38;12,83;0,0158276172765869;0,000570926942228458;0,0079663695776142;0,0548819155742879;0,0243649137964295;0,443951592095019;0,288394038563809
"61";61;8,91;19,92;0,0437541201053067;0,000911682930992728;0,0094828196626664;0,124203725727741;0,0541486226989658;0,435966170754503;0,352277033953211
"62";62;18,78;28,7;0,334058397195482;0,00272886277713178;0,00444735663370265;0,794992358025248;0,341234616606317;0,429230058832188;0,420203280979052
"63";63;7,96;15;0,0152052338522279;0,000859645338951254;0,0106720453599051;0,0746461264048856;0,0267369245510843;0,358182344333065;0,203697560537216
"64";64;20,69;30,3;0,424173498869341;0,0036021898463372;0,00418397046710306;1,01871685368506;0,431959659182782;0,424023277538044;0,416380172110588
"65";65;13,69;25,57;0,14068368604342;0,00147583590830966;0,00701319676173909;0,376380838689455;0,149172718713469;0,396334519134618;0,373780149205459
"66";66;17,35;28,59;0,275647994800268;0,00264345949190581;0,0059912631076289;0,675931980795501;0,284282717399803;0,420578882900661;0,407804339241146
"67";67;21,33;28,52;0,402871557239013;0,00389870391673432;0,0038564706166566;1,01911011809635;0,410626731772404;0,402926753920797;0,395317002633196
"68";68;10,6;19,5;0,0624102798633454;0,00101248281623875;0,00772831792783089;0,172082308396708;0,071151080607415;0,413471211946947;0,36267690993236
"69";69;15,66;26,82;0,203315671495798;0,0024455831370268;0,00591714776313459;0,516573555949998;0,21167840239596;0,409773980796743;0,393585132560441
"70";70;14,32;26,73;0,171520969469594;0,00176384873473839;0,00682589543808722;0,430501705249826;0,18011071364242;0,418373984228237;0,398421115126729
"71";71;18,46;30,93;0,362319668009749;0,00300795637068955;0,00410822068508487;0,827814815490385;0,369435845065524;0,446278368244322;0,437682028915026
"72";72;13,05;25,34;0,12450187695335;0,00137595236280884;0,00780720094336809;0,338935856009533;0,133685030259527;0,394425753101102;0,36733167868155
"73";73;16,87;30;0,296896105067541;0,00247282247320939;0,00474436892714565;0,670565647705822;0,304113296467896;0,453517560149921;0,442754719218467
"74";74;10,19;23,3;0,0776389091744016;0,000920504523164008;0,00844544349110284;0,190017749606044;0,0870048571886684;0,457877526541873;0,408587667917166
"75";75;20,05;31,1;0,382287147522742;0,00286941288864848;0,00491665508439499;0,981926598313478;0,390073215495786;0,39725292722059;0,389323548398979
"76";76;17,54;29,77;0,31317756588678;0,00250077322304838;0,00619365869195075;0,719329537781914;0,321871997801779;0,447461116075236;0,435374260943707
"77";77;17,98;30,3;0,323497183688932;0,00251874413833656;0,00506570718714006;0,769328612239849;0,331081635014408;0,430351386581718;0,420492853823662
"78";78;12,92;24,52;0,130893592616708;0,00134864501114531;0,00678567233155287;0,321466242933207;0,139027909959406;0,432480588601936;0,407176789147048
"79";79;15,44;27,55;0,199751487152891;0,0023186612858573;0,00605702113702067;0,51582938239372;0,208127169575769;0,403480640458962;0,387243328842453
"80";80;16,23;29,15;0,257091207150095;0,00221090591447624;0,00496308807414115;0,603066882956195;0,264265201138712;0,438202144086077;0,426306292744596
"81";81;10,95;22,73;0,0902514316501701;0,00149267902325113;0,0073457488795866;0,214051145070811;0,0990898595530078;0,462926089557836;0,421634893007994
"82";82;12,35;23,57;0,106236257590224;0,00125204936226795;0,00725273137680123;0,282347130975088;0,114741038329294;0,406382873213674;0,376261154924213
"83";83;13,37;25,88;0,140977282100782;0,00136516224868082;0,00708374084544177;0,36334314239056;0,149426185194904;0,411253627113417;0,388000393163453
