"x";"y";"layer";"pred"
683650,090095043;8050647,05117718;4;193,582403756077
683670,006219007;8050647,05117718;4;193,983385326541
683231,851491795;8050627,06800563;4;191,006933040735
683251,767615759;8050627,06800563;4;190,788445700477
683271,683739723;8050627,06800563;4;190,587450180902
683291,599863688;8050627,06800563;4;190,40557766165
683311,515987652;8050627,06800563;4;190,243421967325
683331,432111616;8050627,06800563;4;190,101075898702
683351,34823558;8050627,06800563;4;189,97915790279
683371,264359544;8050627,06800563;4;189,880214506579
683391,180483508;8050627,06800563;4;189,810735609514
683411,096607473;8050627,06800563;4;189,784483288611
683431,012731437;8050627,06800563;4;189,826752561135
683450,928855401;8050627,06800563;4;189,970368052096
683470,844979365;8050627,06800563;4;190,227759248289
683490,761103329;8050627,06800563;4;190,573478216055
683510,677227293;8050627,06800563;4;190,971716548461
683530,593351258;8050627,06800563;4;191,397213840336
683550,509475222;8050627,06800563;4;191,834896308852
683570,425599186;8050627,06800563;4;192,275639237454
683590,34172315;8050627,06800563;4;192,713630091018
683610,257847114;8050627,06800563;4;193,145022386389
683630,173971079;8050627,06800563;4;193,567227388898
683650,090095043;8050627,06800563;4;193,978502013146
683670,006219007;8050627,06800563;4;194,377677539817
683689,922342971;8050627,06800563;4;194,76396050401
683709,838466935;8050627,06800563;4;195,136781153283
683729,7545909;8050627,06800563;4;195,495693579021
683749,670714864;8050627,06800563;4;195,840352753657
683231,851491795;8050607,08483409;4;191,303244613438
683251,767615759;8050607,08483409;4;191,085072721687
683271,683739723;8050607,08483409;4;190,888841065221
683291,599863688;8050607,08483409;4;190,716918629532
683311,515987652;8050607,08483409;4;190,569851440721
683331,432111616;8050607,08483409;4;190,447302172768
683351,34823558;8050607,08483409;4;190,349726854616
683371,264359544;8050607,08483409;4;190,28014672878
683391,180483508;8050607,08483409;4;190,245799363046
683411,096607473;8050607,08483409;4;190,259470316587
683431,012731437;8050607,08483409;4;190,338997913547
683450,928855401;8050607,08483409;4;190,501357730321
683470,844979365;8050607,08483409;4;190,751250801613
683490,761103329;8050607,08483409;4;191,075928206081
683510,677227293;8050607,08483409;4;191,453564477092
683530,593351258;8050607,08483409;4;191,86360603243
683550,509475222;8050607,08483409;4;192,290624450079
683570,425599186;8050607,08483409;4;192,723966445128
683590,34172315;8050607,08483409;4;193,156452143752
683610,257847114;8050607,08483409;4;193,583275447695
683630,173971079;8050607,08483409;4;194,001247882462
683650,090095043;8050607,08483409;4;194,408291080502
683670,006219007;8050607,08483409;4;194,803076584287
683689,922342971;8050607,08483409;4;195,184745988669
683709,838466935;8050607,08483409;4;195,552678901074
683729,7545909;8050607,08483409;4;195,906311467628
683749,670714864;8050607,08483409;4;196,24505290151
683769,586838828;8050607,08483409;4;196,568388405335
683789,502962792;8050607,08483409;4;196,876214996987
683809,419086756;8050607,08483409;4;197,169245469609
683231,851491795;8050587,10166254;4;191,625681537698
683251,767615759;8050587,10166254;4;191,407413658784
683271,683739723;8050587,10166254;4;191,216954534951
683291,599863688;8050587,10166254;4;191,0577417006
683311,515987652;8050587,10166254;4;190,929545328313
683331,432111616;8050587,10166254;4;190,83029401916
683351,34823558;8050587,10166254;4;190,758996501483
683371,264359544;8050587,10166254;4;190,717874892636
683391,180483508;8050587,10166254;4;190,713432363513
683411,096607473;8050587,10166254;4;190,756525856569
683431,012731437;8050587,10166254;4;190,860587972158
683450,928855401;8050587,10166254;4;191,03679592842
683470,844979365;8050587,10166254;4;191,287655857996
683490,761103329;8050587,10166254;4;191,604407179556
683510,677227293;8050587,10166254;4;191,971011356074
683530,593351258;8050587,10166254;4;192,370381860424
683550,509475222;8050587,10166254;4;192,78813806
683570,425599186;8050587,10166254;4;193,213495626605
683590,34172315;8050587,10166254;4;193,638807872562
683610,257847114;8050587,10166254;4;194,058825864076
683630,173971079;8050587,10166254;4;194,470057412147
683650,090095043;8050587,10166254;4;194,870275837006
683670,006219007;8050587,10166254;4;195,258134967665
683689,922342971;8050587,10166254;4;195,632839472318
683709,838466935;8050587,10166254;4;195,993834846861
683729,7545909;8050587,10166254;4;196,340508432499
683749,670714864;8050587,10166254;4;196,671958937159
683769,586838828;8050587,10166254;4;196,987036147977
683789,502962792;8050587,10166254;4;197,284945525793
683809,419086756;8050587,10166254;4;197,566246851779
683829,33521072;8050587,10166254;4;197,833216481182
683849,251334685;8050587,10166254;4;198,08905994752
683869,167458649;8050587,10166254;4;198,336888688699
683231,851491795;8050567,11849099;4;191,974819537373
683251,767615759;8050567,11849099;4;191,754296998391
683271,683739723;8050567,11849099;4;191,569544459198
683291,599863688;8050567,11849099;4;191,426034234237
683311,515987652;8050567,11849099;4;191,321080972619
683331,432111616;8050567,11849099;4;191,248443444421
683351,34823558;8050567,11849099;4;191,2041995729
683371,264359544;8050567,11849099;4;191,188993935784
683391,180483508;8050567,11849099;4;191,208152524724
683411,096607473;8050567,11849099;4;191,271232042722
683431,012731437;8050567,11849099;4;191,390603393092
683450,928855401;8050567,11849099;4;191,577308317071
683470,844979365;8050567,11849099;4;191,834188075281
683490,761103329;8050567,11849099;4;192,152568931124
683510,677227293;8050567,11849099;4;192,516928088702
683530,593351258;8050567,11849099;4;192,911347541184
683550,509475222;8050567,11849099;4;193,32258108926
683570,425599186;8050567,11849099;4;193,740533939817
683590,34172315;8050567,11849099;4;194,157850763415
683610,257847114;8050567,11849099;4;194,569368175705
683630,173971079;8050567,11849099;4;194,971635901491
683650,090095043;8050567,11849099;4;195,362520078706
683670,006219007;8050567,11849099;4;195,740854334253
683689,922342971;8050567,11849099;4;196,106101159631
683709,838466935;8050567,11849099;4;196,457987181482
683729,7545909;8050567,11849099;4;196,796069050685
683749,670714864;8050567,11849099;4;197,119212107354
683769,586838828;8050567,11849099;4;197,425230504093
683789,502962792;8050567,11849099;4;197,711707734767
683809,419086756;8050567,11849099;4;197,978642369017
683829,33521072;8050567,11849099;4;198,22970066876
683849,251334685;8050567,11849099;4;198,46985921655
683869,167458649;8050567,11849099;4;198,703192419068
683889,083582613;8050567,11849099;4;198,932523369043
683231,851491795;8050547,13531945;4;192,353329276627
683251,767615759;8050547,13531945;4;192,125372311008
683271,683739723;8050547,13531945;4;191,944350182781
683291,599863688;8050547,13531945;4;191,821217296227
683311,515987652;8050547,13531945;4;191,746021514166
683331,432111616;8050547,13531945;4;191,70371257603
683351,34823558;8050547,13531945;4;191,686679279639
683371,264359544;8050547,13531945;4;191,694319366108
683391,180483508;8050547,13531945;4;191,730890398691
683411,096607473;8050547,13531945;4;191,804975939202
683431,012731437;8050547,13531945;4;191,930228961239
683450,928855401;8050547,13531945;4;192,123419506594
683470,844979365;8050547,13531945;4;192,391170750925
683490,761103329;8050547,13531945;4;192,720037983119
683510,677227293;8050547,13531945;4;193,089772217936
683530,593351258;8050547,13531945;4;193,484135341947
683550,509475222;8050547,13531945;4;193,891309739228
683570,425599186;8050547,13531945;4;194,302515771771
683590,34172315;8050547,13531945;4;194,711216093068
683610,257847114;8050547,13531945;4;195,112706753234
683630,173971079;8050547,13531945;4;195,503844861042
683650,090095043;8050547,13531945;4;195,882799601041
683670,006219007;8050547,13531945;4;196,248779555926
683689,922342971;8050547,13531945;4;196,60171884511
683709,838466935;8050547,13531945;4;196,941905230657
683729,7545909;8050547,13531945;4;197,269481891078
683749,670714864;8050547,13531945;4;197,583603138863
683769,586838828;8050547,13531945;4;197,880912078545
683789,502962792;8050547,13531945;4;198,155051107775
683809,419086756;8050547,13531945;4;198,403961670189
683829,33521072;8050547,13531945;4;198,635243988282
683849,251334685;8050547,13531945;4;198,857155210015
683869,167458649;8050547,13531945;4;199,074494345591
683889,083582613;8050547,13531945;4;199,289920459698
