"fazenda";"talhao";"area";"matgen";"idade";"parcela";"areaparc";"nfustes";"percfalhas";"percmortas";"percquebradas";"hdom";"areabasal";"ima";"vcomcc";"vcomsc";"vtsc";"vtcc"
1;48;114,52;6;5,51;113;400;1275;3,77;3,77;0;23,05;17,64;32,23;150,82;131,99;155,61;177,45
1;12;64,61;6;5,46;114;400;1250;9,09;1,82;0;22,35;16,42;28,69;128,26;116,59;138,81;156,73
1;12;64,61;6;5,46;115;400;1275;7,27;5,45;0;23,05;18,91;34,14;159,15;143,56;165,14;186,46
1;12;64,61;6;5,46;116;400;1300;3,77;0;0;25,63;20,51;39,18;185,42;171,57;189,51;213,98
1;12;64,61;6;5,46;118;400;1200;14,29;0;0;24,92;20,32;39,55;190,1;174,51;191,31;216,02
1;16;99,98;6;5,35;119;400;1150;11,54;0;0;24;18,53;35,76;167,54;154,13;169,54;191,43
1;16;99,98;6;5,35;120;400;1025;21,15;9,62;0;24,57;16,97;32,51;152,44;139,26;154,12;174,02
1;16;99,98;6;5,35;121;400;950;26,92;15,38;2,63;23,85;14,75;25,75;118,86;108;122,02;137,81
1;16;99,98;6;5,35;122;400;1325;3,64;1,82;0;24,05;19,13;36,16;163,81;150,63;171,41;193,55
1;16;99,98;6;5,35;124;400;1050;10,64;0;0;23,9;16,93;31,9;148,3;135,35;151,21;170,74
1;16;99,98;6;5,35;125;400;1000;26,92;13,46;0;24,1;14,8;26,51;120,39;110,13;125,66;141,89
1;16;99,98;6;5,35;126;400;1250;1,96;11,76;0;24,07;18,18;34,88;158,91;145,85;165,36;186,72
1;42;130,12;6;5,5;127;400;1300;1,89;0;0;24,1;20,78;40,58;195,45;175,2;195,63;223,08
1;42;130,12;6;5,5;128;400;1250;5,66;0;0;25;19,53;40,25;193,63;176,91;194,07;221,3
1;42;130,12;6;5,5;129;400;1350;1,85;0;0;23,52;20,95;41,47;196,81;179,55;199,95;228
1;42;130,12;6;5,5;130;400;1050;10,64;0;0;25,17;19,47;40,11;199,31;177,6;193,38;220,52
1;42;130,12;6;5,5;131;400;1350;1,82;0;0;27,13;23,42;51,68;254,03;227,32;249,18;284,14
1;42;130,12;6;5,5;132;400;1200;0;0;0;25,83;20,54;43,39;212,38;193,14;209,17;238,52
1;42;130,12;6;5,5;134;400;1200;4;2;0;26,77;21,89;48,18;238,64;212,13;232,27;264,86
1;42;130,12;6;5,5;135;400;1200;7,69;0;0;25,1;20,07;41,35;201,73;183,09;199,33;227,3
1;42;130,12;6;5,5;136;400;1325;0;0;0;24,63;21,98;45,33;220,32;201,38;218,52;249,19
1;43;75;6;5,41;138;400;1150;2,13;2,13;0;26,15;19,72;43,3;208,9;188,79;205,42;234,24
1;43;75;6;5,41;139;400;1200;7,69;3,85;0;23,7;18,01;35,95;169,12;150,71;170,57;194,5
1;43;75;6;5,41;141;400;1425;0;0;0;24,98;21,8;45,25;212,73;193,26;214,69;244,82
1;43;75;6;5,41;142;400;1250;5,66;5,66;0;24,95;18,1;37,39;173,36;158,67;177,41;202,3
1;43;75;6;5,41;143;400;1300;5,45;1,82;0;24,88;19,78;41,12;192,08;177,25;195,1;222,48
1;44;100,79;6;5,15;144;400;1225;7,84;19,61;0;24,8;19,76;41,92;189,46;171,52;189,32;215,89
1;44;100,79;6;5,15;146;400;1275;1,96;1,96;0;25,27;18,98;41,33;183,77;166,99;186,66;212,85
1;44;100,79;6;5,15;147;400;1275;5,66;56,6;0;23,1;16,71;33,05;140,61;128,25;149,26;170,2
1;44;100,79;6;5,15;148;400;900;28;6;0;24,4;16,23;35,13;161,15;146,59;158,65;180,91
