"frag";"nfrag";"areafrag";"parc";"areaparc";"vtcc"
64;110;430,19;29;1000;6,42812471112503
64;110;430,19;30;1000;8,36841277055571
64;110;430,19;31;1000;6,8140911144486
64;110;430,19;32;1000;6,5541946976655
64;110;430,19;33;1000;9,2651594795002
64;110;430,19;34;1000;7,38250411625305
64;110;430,19;35;1000;6,93283683980437
64;110;430,19;36;1000;10,3283191122904
64;110;430,19;37;1000;5,00224966080946
64;110;430,19;38;1000;7,99176305829092
64;110;430,19;39;1000;6,66482900991471
64;110;430,19;40;1000;8,38790433471574
64;110;430,19;41;1000;7,86248755290531
64;110;430,19;42;1000;4,56604321503579
64;110;430,19;43;1000;5,2771137954655
64;110;430,19;44;1000;8,24582445818292
64;110;430,19;45;1000;4,22861440489503
64;110;430,19;46;1000;8,40145409034083
69;110;320,27;1;1000;5,81519709631544
69;110;320,27;2;1000;8,25932057987786
69;110;320,27;3;1000;9,11387824513208
69;110;320,27;4;1000;6,00123994686604
69;110;320,27;5;1000;10,7068802810222
69;110;320,27;6;1000;7,89529974610585
69;110;320,27;7;1000;6,49358205152609
69;110;320,27;8;1000;6,81580815869876
69;110;320,27;9;1000;9,98259487720026
69;110;320,27;10;1000;8,70139781102256
69;110;320,27;11;1000;10,9954741847718
69;110;320,27;12;1000;9,9648086028152
69;110;320,27;13;1000;8,15687212640893
69;110;320,27;14;1000;8,34913011514872
69;110;320,27;15;1000;9,87999701492494
69;110;320,27;16;1000;11,5319988700998
69;110;320,27;17;1000;10,1643363292443
69;110;320,27;18;1000;7,21119963878841
69;110;320,27;19;1000;9,59333805153538
69;110;320,27;20;1000;7,78157181626938
69;110;320,27;21;1000;8,89087475255658
69;110;320,27;22;1000;11,3845334378417
69;110;320,27;23;1000;8,77849794531745
69;110;320,27;24;1000;6,98694500404375
69;110;320,27;25;1000;6,99270854504275
69;110;320,27;26;1000;10,0484573799557
69;110;320,27;27;1000;8,90195087308406
69;110;320,27;28;1000;8,4893804281328
69;110;320,27;29;1000;8,5287905019404
69;110;320,27;30;1000;9,96693885541544
69;110;320,27;31;1000;10,430873771571
69;110;320,27;32;1000;7,07679410211526
75;110;108,97;1;1000;7,14716519070716
75;110;108,97;2;1000;12,1458581531057
75;110;108,97;3;1000;11,9745469387657
75;110;108,97;4;1000;6,03276286242823
75;110;108,97;5;1000;6,61266257671689
75;110;108,97;6;1000;9,56891278658636
75;110;108,97;7;1000;8,97710206974692
75;110;108,97;8;1000;11,2574878230344
75;110;108,97;9;1000;12,437664967069
75;110;108,97;10;1000;9,2745762227356
75;110;108,97;11;1000;8,43491462883096
76;110;54,03;1;1000;8,02741281763928
76;110;54,03;2;1000;9,88558835161255
76;110;54,03;3;1000;9,72759079850136
76;110;54,03;4;1000;12,9181850337851
76;110;54,03;5;1000;10,80383683222
81;110;370,44;1;1000;5,77193212362786
81;110;370,44;2;1000;4,46520305277507
81;110;370,44;3;1000;8,62069770055162
81;110;370,44;4;1000;5,00284202278081
81;110;370,44;5;1000;8,66231915846637
81;110;370,44;6;1000;7,85833384815289
81;110;370,44;7;1000;7,24063406885092
81;110;370,44;8;1000;6,73382916130522
81;110;370,44;9;1000;6,30581099133577
81;110;370,44;10;1000;10,2236316426865
81;110;370,44;11;1000;5,13274100630041
81;110;370,44;12;1000;7,49721874754572
81;110;370,44;13;1000;5,84441141040322
81;110;370,44;14;1000;8,24519726214485
81;110;370,44;15;1000;5,52928646342831
81;110;370,44;16;1000;4,00230303641509
81;110;370,44;17;1000;6,23393029237685
81;110;370,44;18;1000;4,07190436692591
81;110;370,44;19;1000;8,26344180704006
81;110;370,44;20;1000;7,0710627852856
81;110;370,44;21;1000;5,2317821662489
81;110;370,44;22;1000;6,13789101667451
81;110;370,44;23;1000;7,98579452572113
81;110;370,44;24;1000;8,11220434778848
81;110;370,44;25;1000;8,64918326548357
81;110;370,44;26;1000;7,9667641385544
81;110;370,44;27;1000;6,24722691164743
81;110;370,44;28;1000;9,03249967653801
81;110;370,44;29;1000;7,84646557164828
81;110;370,44;30;1000;5,38159730363287
81;110;370,44;31;1000;8,18796707139987
81;110;370,44;32;1000;7,05499205219672
81;110;370,44;33;1000;5,77967110942552
81;110;370,44;34;1000;8,51973793498992
85;110;305,36;1;1000;9,20814567248543
